iter	Passed	Remaining
536	6512	5615
537	6525	5603
538	6536	5590
539	6550	5579
540	6562	5567
541	6575	5556
542	6588	5544
543	6602	5534
544	6610	5518
545	6622	5506
546	6633	5493
547	6644	5480
548	6657	5468
549	6669	5456
550	6681	5444
551	6693	5432
552	6703	5418
553	6717	5408
554	6733	5399
555	6743	5384
556	6755	5372
557	6769	5361
558	6783	5351
559	6798	5341
560	6810	5329
561	6820	5315
562	6845	5313
563	6858	5302
564	6868	5288
565	6873	5270
566	6923	5287
567	6937	5276
568	6949	5264
569	6978	5264
570	6989	5251
571	7004	5241
572	7022	5233
573	7027	5215
574	7033	5198
575	7069	5203
576	7082	5192
577	7095	5180
578	7108	5168
579	7123	5158
580	7135	5146
581	7152	5137
582	7169	5127
583	7185	5118
584	7202	5109
585	7213	5096
586	7226	5084
587	7238	5071
588	7256	5063
589	7270	5052
590	7286	5042
591	7299	5030
592	7316	5021
593	7329	5009
594	7344	4999
595	7354	4985
596	7367	4973
597	7382	4962
598	7397	4952
599	7409	4939
600	7422	4927
601	7434	4915
602	7447	4903
603	7457	4889
604	7463	4872
605	7469	4856
606	7477	4841
607	7484	4825
608	7496	4812
609	7501	4796
610	7522	4789
611	7537	4778
612	7546	4764
613	7557	4751
614	7568	4737
615	7577	4723
616	7585	4708
617	7591	4692
618	7596	4675
619	7605	4661
620	7614	4647
621	7625	4634
622	7635	4620
623	7648	4608
624	7661	4597
625	7676	4586
626	7691	4575
627	7703	4562
628	7715	4550
629	7725	4537
630	7733	4522
631	7739	4506
632	7756	4496
633	7767	4483
634	7777	4470
635	7787	4457
636	7807	4449
637	7816	4435
638	7839	4429
639	7853	4417
640	7866	4405
641	7878	4393
642	7896	4384
643	7907	4371
644	7919	4359
645	7936	4348
646	7950	4337
647	7962	4325
648	7968	4309
649	7978	4296
650	7992	4284
651	8005	4272
652	8011	4257
653	8022	4244
654	8038	4234
655	8057	4225
656	8092	4224
657	8104	4212
658	8113	4198
659	8126	4186
660	8140	4174
661	8168	4170
662	8173	4154
663	8178	4138
664	8183	4122
665	8188	4106
666	8228	4107
667	8237	4094
668	8289	4101
669	8302	4089
670	8322	4080
671	8329	4065
672	8334	4049
673	8339	4033
674	8345	4017
675	8350	4002
676	8355	3986
677	8360	3970
678	8403	3972
679	8418	3961
680	8430	3949
681	8441	3936
682	8451	3922
683	8459	3908
684	8466	3893
685	8479	3881
686	8487	3866
687	8510	3859
688	8524	3847
689	8533	3834
690	8551	3824
691	8566	3812
692	8579	3800
693	8592	3788
694	8605	3776
695	8617	3763
696	8626	3750
697	8636	3736
698	8648	3724
699	8658	3710
700	8669	3697
701	8678	3684
702	8691	3672
703	8700	3658
704	8713	3646
705	8723	3632
706	8732	3619
707	8742	3605
708	8752	3592
709	8761	3578
710	8777	3567
711	8790	3555
712	8802	3543
713	8813	3530
714	8823	3517
715	8834	3504
716	8849	3493
717	8866	3482
718	8877	3469
719	8884	3454
720	8893	3441
721	8900	3427
722	8910	3413
723	8921	3400
724	8928	3386
725	8934	3372
726	8949	3360
727	8964	3349
728	8979	3338
729	8992	3326
730	9003	3313
731	9013	3300
732	9025	3287
733	9039	3275
734	9049	3262
735	9060	3250
736	9070	3236
737	9079	3223
738	9089	3210
739	9100	3197
740	9113	3185
741	9127	3173
742	9140	3161
743	9150	3148
744	9162	3136
745	9171	3122
746	9181	3109
747	9196	3098
748	9215	3088
749	9230	3076
750	9235	3062
751	9245	3049
752	9249	3034
753	9257	3020
754	9267	3007
755	9272	2992
756	9278	2978
757	9286	2964
758	9298	2952
759	9308	2939
760	9323	2928
761	9338	2916
762	9349	2903
763	9362	2891
764	9382	2882
765	9389	2868
766	9401	2856
767	9420	2845
768	9429	2832
769	9442	2820
770	9448	2806
771	9462	2794
772	9470	2781
773	9476	2767
774	9487	2754
775	9499	2742
776	9514	2730
777	9528	2718
778	9537	2705
779	9546	2692
780	9551	2678
781	9576	2669
782	9587	2657
783	9601	2645
784	9613	2632
785	9620	2619
786	9644	2610
787	9658	2598
788	9677	2587
789	9691	2576
790	9707	2565
791	9717	2552
792	9738	2541
793	9743	2527
794	9748	2513
795	9753	2499
796	9807	2498
797	9817	2485
798	9837	2474
799	9855	2463
800	9870	2452
801	9880	2439
802	9888	2426
803	9906	2415
804	9912	2401
805	9923	2388
806	9928	2374
807	9932	2360
808	9935	2345
809	9938	2331
810	9941	2316
811	9944	2302
812	9948	2288
813	9950	2273
814	9953	2259
815	9956	2245
816	9959	2230
817	9962	2216
818	9965	2202
819	9968	2188
820	9970	2173
821	9973	2159
822	9976	2145
823	9979	2131
824	9983	2117
825	9985	2103
826	9989	2089
827	9992	2075
828	9995	2061
829	9999	2048
830	10008	2035
831	10014	2022
832	10025	2009
833	10032	1996
834	10039	1983
835	10047	1971
836	10055	1958
837	10059	1944
838	10062	1930
839	10065	1917
840	10067	1903
841	10070	1889
842	10073	1876
843	10077	1862
844	10079	1848
845	10085	1835
846	10094	1823
847	10103	1811
848	10110	1798
849	10119	1785
850	10131	1773
851	10143	1761
852	10147	1748
853	10162	1737
854	10166	1724
855	10172	1711
856	10181	1698
857	10191	1686
858	10203	1674
859	10217	1663
860	10228	1651
861	10238	1639
862	10243	1626
863	10249	1613
864	10256	1600
865	10260	1587
866	10268	1575
867	10281	1563
868	10292	1551
869	10308	1540
870	10313	1527
871	10317	1514
872	10320	1501
873	10323	1488
874	10326	1475
875	10329	1462
876	10332	1449
877	10334	1436
878	10337	1423
879	10342	1410
880	10345	1397
881	10349	1384
882	10352	1371
883	10356	1358
884	10360	1346
885	10366	1333
886	10370	1321
887	10375	1308
888	10378	1295
889	10381	1283
890	10384	1270
891	10386	1257
892	10389	1244
893	10391	1232
894	10394	1219
895	10397	1206
896	10400	1194
897	10402	1181
898	10404	1168
899	10407	1156
900	10409	1143
901	10413	1131
902	10415	1118
903	10418	1106
904	10420	1093
905	10423	1081
906	10426	1069
907	10428	1056
908	10431	1044
909	10433	1031
910	10436	1019
911	10438	1007
912	10441	994
913	10443	982
914	10446	970
915	10449	958
916	10455	946
917	10461	934
918	10464	922
919	10469	910
920	10474	898
921	10479	886
922	10484	874
923	10488	862
924	10492	850
925	10497	838
926	10502	827
927	10506	815
928	10510	803
929	10513	791
930	10515	779
931	10517	767
932	10519	755
933	10522	743
934	10524	731
935	10526	719
936	10528	707
937	10530	696
938	10533	684
939	10535	672
940	10537	660
941	10540	648
942	10542	637
943	10545	625
944	10548	613
945	10550	602
946	10552	590
947	10554	578
948	10556	567
949	10558	555
950	10560	544
951	10562	532
952	10564	521
953	10567	509
954	10569	498
955	10571	486
956	10573	475
957	10575	463
958	10577	452
959	10579	440
960	10581	429
961	10583	418
962	10585	406
963	10587	395
964	10589	384
965	10591	372
966	10593	361
967	10595	350
968	10598	339
969	10600	327
970	10602	316
971	10604	305
972	10606	294
973	10608	283
974	10610	272
975	10612	260
976	10614	249
977	10616	238
978	10618	227
979	10620	216
980	10622	205
981	10624	194
982	10626	183
983	10628	172
984	10630	161
985	10632	150
986	10634	140
987	10637	129
988	10639	118
989	10641	107
990	10643	96
991	10645	85
992	10647	75
993	10649	64
994	10651	53
995	10653	42
996	10655	32
997	10657	21
998	10659	10
999	10661	0
